Mean_acc_1_x,Variance_acc_1_x,Mean_acc_1_y,Variance_acc_1_y,Mean_acc_1_z,Variance_acc_1_z,Mean_gyr_1_x,Variance_gyr_1_x,Mean_gyr_1_y,Variance_gyr_1_y,Mean_acc_2_x,Variance_acc_2_x,Mean_acc_2_y,Variance_acc_2_y,Mean_acc_2_z,Variance_acc_2_z,Mean_gyr_2_x,Variance_gyr_2_x,Mean_gyr_2_y,Variance_gyr_2_y,Mean_acc_3_x,Variance_acc_3_x,Mean_acc_3_y,Variance_acc_3_y,Mean_acc_3_z,Variance_acc_3_z,Mean_gyr_3_x,Variance_gyr_3_x,Mean_gyr_3_y,Variance_gyr_3_y
253.1875,2872.21484375,-922.375,1052.859375,-266.25,1159.9375,424.5625,69.12109375,405.65625,41.5380859375,365.0,7424.75,-922.34375,1008.47558594,-202.875,1414.671875,376.09375,75.5224609375,422.0625,18.18359375,-167.34375,1914.53808594,-989.40625,826.866210938,-94.40625,602.553710938,410.21875,57.5458984375,424.625,7.734375
243.375,1840.359375,-915.40625,540.803710938,-271.78125,968.733398438,426.625,47.484375,404.59375,24.9287109375,342.03125,2277.03027344,-928.9375,382.18359375,-206.34375,1415.91308594,376.90625,68.3349609375,421.28125,10.5771484375,-175.25,873.1875,-987.59375,665.553710938,-99.03125,566.842773438,411.3125,42.08984375,424.09375,8.9599609375
249.46875,1501.12402344,-913.84375,533.381835938,-279.75,464.8125,427.03125,42.9677734375,403.4375,8.74609375,332.875,1046.109375,-930.125,422.484375,-216.46875,710.249023438,378.71875,56.3896484375,420.75,7.375,-171.3125,565.52734375,-987.59375,653.678710938,-103.0625,579.74609375,412.1875,30.27734375,423.375,6.671875
255.5625,964.99609375,-915.96875,584.780273438,-283.125,365.171875,428.125,37.109375,403.375,8.734375,335.90625,880.772460938,-926.84375,321.194335938,-222.1875,443.21484375,380.46875,37.5615234375,420.59375,6.5537109375,-171.0,483.6875,-985.1875,659.46484375,-103.34375,579.913085938,412.875,18.484375,423.375,7.421875
269.0625,2487.80859375,-916.28125,668.514648438,-281.03125,443.405273438,428.8125,34.33984375,403.71875,8.0146484375,339.84375,742.381835938,-928.625,360.734375,-226.9375,367.55859375,381.40625,32.4912109375,420.375,6.171875,-170.125,537.796875,-987.90625,716.397460938,-110.46875,1248.62402344,413.65625,13.5380859375,423.40625,7.8662109375
283.78125,4106.42089844,-907.15625,1382.75683594,-281.03125,443.405273438,424.96875,236.280273438,402.65625,26.1630859375,345.6875,436.33984375,-925.0,318.6875,-231.34375,327.725585938,382.46875,15.5615234375,420.59375,6.8037109375,-144.6875,7644.83984375,-986.40625,635.866210938,-122.21875,2474.48339844,411.5,106.5,424.15625,12.8193359375
303.40625,7285.05371094,-902.28125,1845.26464844,-275.53125,731.811523438,419.65625,554.225585938,400.40625,87.6787109375,361.9375,2356.62109375,-915.09375,1305.27246094,-241.09375,809.834960938,379.625,141.109375,419.875,22.234375,-112.59375,15918.6787109,-990.25,798.5,-127.5,2433.875,403.0,861.5,423.96875,14.6552734375
313.21875,8197.92089844,-908.0625,2566.74609375,-258.0625,2821.55859375,410.1875,1250.83984375,397.125,168.109375,380.3125,4982.71484375,-899.78125,3284.35839844,-239.53125,813.936523438,376.1875,271.21484375,417.6875,83.21484375,-100.71875,15966.3271484,-995.625,1021.359375,-109.9375,8280.18359375,390.75,2109.6875,423.9375,14.55859375
310.4375,8633.43359375,-916.875,3735.734375,-243.40625,3742.86621094,400.25,1768.9375,394.78125,214.670898438,395.34375,6964.66308594,-904.875,4082.359375,-232.5625,1510.43359375,368.625,717.984375,413.0,281.625,-104.03125,19597.9677734,-996.78125,1101.10839844,-55.5625,39614.2460938,376.75,3304.8125,426.15625,63.2568359375
310.125,8723.671875,-922.375,3915.109375,-223.5,6252.25,393.5625,1780.87109375,397.0625,312.37109375,399.03125,6910.84277344,-906.96875,4207.15527344,-216.1875,3854.65234375,359.625,1255.296875,408.71875,382.764648438,-117.09375,24965.0849609,-995.03125,1228.34277344,-18.5625,48819.4335938,372.875,3195.359375,429.25,148.25
