Mean_acc_1_x,Variance_acc_1_x,Mean_acc_1_y,Variance_acc_1_y,Mean_acc_1_z,Variance_acc_1_z,Mean_gyr_1_x,Variance_gyr_1_x,Mean_gyr_1_y,Variance_gyr_1_y,Mean_acc_2_x,Variance_acc_2_x,Mean_acc_2_y,Variance_acc_2_y,Mean_acc_2_z,Variance_acc_2_z,Mean_gyr_2_x,Variance_gyr_2_x,Mean_gyr_2_y,Variance_gyr_2_y,Mean_acc_3_x,Variance_acc_3_x,Mean_acc_3_y,Variance_acc_3_y,Mean_acc_3_z,Variance_acc_3_z,Mean_gyr_3_x,Variance_gyr_3_x,Mean_gyr_3_y,Variance_gyr_3_y
84.875,7503.421875,-86.03125,7456.28027344,-833.90625,99485.2724609,378.65625,20273.4755859,350.125,17829.421875,233.5,13040.0625,84.53125,2140.12402344,-808.25,94060.125,337.59375,16267.1162109,363.1875,18634.5898438,16.875,927.921875,-827.15625,97142.1943359,-263.03125,10518.4052734,358.625,18136.171875,359.78125,18260.6083984
101.40625,7564.24121094,-93.0,7279.75,-923.71875,28718.9521484,418.78125,5665.98339844,387.53125,5314.62402344,271.03125,9209.90527344,94.71875,1451.13964844,-891.03125,27410.0302734,374.4375,4683.99609375,402.53125,5202.24902344,16.90625,1088.39746094,-921.84375,28259.8818359,-286.65625,3572.10058594,396.59375,5015.61621094,398.75,5080.625
118.40625,6559.55371094,-95.8125,6944.40234375,-970.53125,1426.18652344,439.0,86.1875,405.8125,244.02734375,304.5625,7767.30859375,101.8125,743.83984375,-929.65625,1842.97558594,393.53125,52.2490234375,421.3125,30.71484375,13.625,1413.046875,-968.21875,936.295898438,-293.5625,1397.74609375,415.53125,27.8740234375,418.34375,13.2255859375
120.3125,6542.71484375,-95.09375,7194.58496094,-954.0,4609.9375,441.65625,104.413085938,402.5625,350.74609375,326.28125,6735.57714844,101.53125,735.811523438,-927.90625,1792.52246094,393.84375,46.3818359375,420.5625,36.68359375,8.21875,2127.73339844,-970.0,981.3125,-283.9375,1409.99609375,415.59375,27.3037109375,419.0625,22.62109375
104.09375,11065.2099609,-113.65625,9026.78808594,-916.1875,15327.9023438,446.09375,248.772460938,399.59375,379.866210938,345.53125,6409.99902344,92.5,1322.3125,-923.34375,1888.41308594,393.34375,56.6005859375,419.75,43.6875,-3.6875,3430.52734375,-972.40625,945.303710938,-272.34375,2366.85058594,415.46875,27.5615234375,419.0625,24.24609375
100.15625,12871.3193359,-148.25,21120.8125,-864.125,34649.921875,452.25,593.375,394.3125,466.40234375,340.96875,8680.15527344,76.0625,3511.55859375,-900.9375,4188.93359375,395.125,51.234375,418.0625,69.62109375,-13.96875,4445.84277344,-970.34375,1001.91308594,-258.71875,2494.88964844,417.5,76.6875,418.21875,27.6083984375
118.25,15921.1875,-221.0625,79040.3710938,-806.84375,50817.9443359,454.65625,648.413085938,384.75,1159.5625,338.5,9563.6875,37.125,13527.109375,-859.90625,15834.2724609,399.4375,176.87109375,413.9375,199.74609375,-13.375,4548.484375,-967.03125,1066.03027344,-250.375,2262.046875,420.90625,199.772460938,417.59375,34.4912109375
133.25,19844.8125,-350.0,208303.75,-754.46875,60833.8115234,461.1875,943.33984375,375.8125,1440.83984375,351.96875,10203.3427734,-22.0,43367.4375,-818.5625,22425.4335938,402.09375,244.272460938,407.28125,446.827148438,-9.96875,5819.90527344,-970.59375,1157.92871094,-240.15625,1930.31933594,419.84375,213.006835938,416.96875,38.5927734375
184.09375,44151.7724609,-481.0625,299799.058594,-714.03125,59701.4052734,462.09375,1016.14746094,367.78125,1474.79589844,363.65625,11328.9130859,-124.96875,124737.155273,-771.53125,33067.2490234,405.6875,392.96484375,398.59375,766.991210938,-52.09375,17305.8349609,-975.96875,1677.28027344,-226.875,1949.046875,418.25,250.6875,415.71875,54.7021484375
201.875,45870.609375,-572.09375,316801.084961,-670.53125,55798.6865234,463.5,1069.875,366.59375,1411.42871094,395.25,19799.4375,-265.21875,247647.858398,-731.78125,37730.4208984,411.34375,613.913085938,392.75,826.0,-76.3125,21950.7148438,-982.84375,1591.81933594,-208.96875,2414.15527344,421.03125,271.592773438,415.125,57.421875
